title,release_year,popularity,vote_average,vote_count
Toy Story,1995,21.946943,7.7,5415.0
Jumanji,1995,17.015539,6.9,2413.0
Grumpier Old Men,1995,11.7129,6.5,92.0
Waiting to Exhale,1995,3.859495,6.1,34.0
Father of the Bride Part II,1995,8.387519,5.7,173.0
Heat,1995,17.924927,7.7,1886.0
Sabrina,1995,6.677277,6.2,141.0
Tom and Huck,1995,2.561161,5.4,45.0
Sudden Death,1995,5.23158,5.5,174.0
GoldenEye,1995,14.686036,6.6,1194.0
The American President,1995,6.318445,6.5,199.0
Dracula: Dead and Loving It,1995,5.430331,5.7,210.0
Balto,1995,12.140733,7.1,423.0
Nixon,1995,5.092,7.1,72.0
Cutthroat Island,1995,7.284477,5.7,137.0
Casino,1995,10.137389,7.8,1343.0
Sense and Sensibility,1995,10.673167,7.2,364.0
Four Rooms,1995,9.026586,6.5,539.0
Ace Ventura: When Nature Calls,1995,8.205448,6.1,1128.0
Money Train,1995,7.337906,5.4,224.0
Get Shorty,1995,12.669608,6.4,305.0
Copycat,1995,10.701801,6.5,199.0
Assassins,1995,11.065939,6.0,394.0
Powder,1995,12.133094,6.3,143.0
Leaving Las Vegas,1995,10.332025,7.1,365.0
Othello,1995,1.845899,7.0,33.0
Now and Then,1995,8.681325,6.6,91.0
Persuasion,1995,2.228434,7.4,36.0
The City of Lost Children,1995,9.822423,7.6,308.0
Shanghai Triad,1995,1.100915,6.5,17.0
Dangerous Minds,1995,9.481338,6.4,249.0
Twelve Monkeys,1995,12.297305,7.4,2470.0
Wings of Courage,1996,0.745542,6.8,4.0
Babe,1995,14.404764,6.0,756.0
Carrington,1995,1.493361,6.4,16.0
Dead Man Walking,1995,6.891317,7.3,350.0
Across the Sea of Time,1995,0.114469,3.5,2.0
It Takes Two,1995,7.777735,6.1,149.0
Clueless,1995,9.882383,6.9,828.0
"Cry, the Beloved Country",1995,0.894647,6.7,13.0
Richard III,1995,4.561387,6.9,50.0
Dead Presidents,1995,9.87957,6.6,80.0
Restoration,1995,10.979269,6.3,30.0
Mortal Kombat,1995,10.870138,5.4,452.0
To Die For,1995,10.448481,6.7,177.0
How To Make An American Quilt,1995,4.485958,6.5,38.0
Se7en,1995,18.45743,8.1,5915.0
Pocahontas,1995,13.280069,6.7,1509.0
When Night Is Falling,1995,3.302524,5.9,10.0
The Usual Suspects,1995,16.302466,8.1,3334.0
Guardian Angel,1994,0.595949,6.3,3.0
Mighty Aphrodite,1995,15.899134,6.7,145.0
Lamerica,1994,1.361286,7.7,11.0
The Big Green,1995,5.982764,5.2,41.0
Georgia,1995,4.093443,6.1,15.0
Kids of the Round Table,1997,0.307075,3.0,1.0
Home for the Holidays,1995,8.416802,6.3,39.0
The Postman,1994,10.168437,7.6,181.0
The Confessional,1995,0.120789,6.5,2.0
The Indian in the Cupboard,1995,10.673296,5.9,136.0
Eye for an Eye,1996,4.733526,5.8,65.0
Mr. Holland's Opus,1995,7.137117,6.9,115.0
Don't Be a Menace to South Central While Drinking Your Juice in the Hood,1996,11.700115,6.2,192.0
Two If by Sea,1996,2.174487,4.5,14.0
Bio-Dome,1996,6.387469,4.4,110.0
Lawnmower Man 2: Beyond Cyberspace,1996,2.49535,2.8,32.0
Two Bits,1995,4.046208,5.4,11.0
French Twist,1995,2.518051,6.0,43.0
Friday,1995,14.56965,7.0,513.0
From Dusk Till Dawn,1996,15.339153,6.9,1644.0
Fair Game,1995,5.912223,4.1,54.0
Kicking and Screaming,1995,3.367276,7.0,36.0
Les Miserables,1995,1.479446,6.6,8.0
Bed of Roses,1996,10.412194,5.1,27.0
Big Bully,1996,2.936443,3.9,16.0
Screamers,1995,12.758848,6.1,154.0
Nico Icon,1995,0.133893,7.3,3.0
The Crossing Guard,1995,5.756462,6.1,74.0
The Juror,1996,6.010579,5.5,91.0
The White Balloon,1995,1.196256,7.5,20.0
Things to Do in Denver When You're Dead,1995,4.486179,6.7,87.0
Antonia's Line,1995,2.030174,7.2,26.0
Once Upon a Time... When We Were Colored,1996,0.252287,4.5,2.0
Last Summer in the Hamptons,1995,0.531159,0.0,0.0
Angels and Insects,1995,2.15166,6.3,17.0
White Squall,1996,9.568604,6.3,86.0
Dunston Checks In,1996,4.814825,5.1,59.0
Black Sheep,1996,8.963037,6.0,124.0
Nick of Time,1995,6.848591,6.1,190.0
The Journey of August King,1995,0.411424,6.7,3.0
Mary Reilly,1996,12.866139,5.7,77.0
Vampire in Brooklyn,1995,9.071127,4.5,113.0
Beautiful Girls,1996,4.670562,6.6,103.0
Broken Arrow,1996,14.957626,5.7,459.0
A Midwinter's Tale,1995,0.513391,7.5,6.0
La Haine,1995,12.108196,7.9,695.0
Shopping,1994,2.657647,5.6,13.0
Heidi Fleiss: Hollywood Madam,1995,0.638211,6.8,4.0
City Hall,1996,4.807223,6.0,67.0
Bottle Rocket,1996,6.904831,6.8,285.0
Mr. Wrong,1996,3.329264,3.3,16.0
Unforgettable,1996,2.464425,5.3,22.0
Happy Gilmore,1996,9.592265,6.5,767.0
The Bridges of Madison County,1995,5.951077,7.3,397.0
Nobody Loves Me,1994,1.015068,5.1,5.0
Muppet Treasure Island,1996,6.902423,6.5,93.0
Catwalk,1995,0.976707,7.0,2.0
Headless Body in Topless Bar,1995,0.001346,0.0,0.0
Braveheart,1995,20.755149,7.7,3404.0
Taxi Driver,1976,14.092713,8.1,2632.0
Rumble in the Bronx,1995,12.314278,6.5,245.0
Before and After,1996,2.938293,5.8,37.0
Margaret's Museum,1995,0.372697,7.5,2.0
Happiness Is in the Field,1995,1.254885,7.0,23.0
Anne Frank Remembered,1995,0.243986,7.3,4.0
The Young Poisoner's Handbook,1995,6.178497,6.9,19.0
If Lucy Fell,1996,2.891918,5.4,11.0
Steal Big Steal Little,1995,1.522412,5.1,7.0
Race the Sun,1996,1.317878,5.2,21.0
The Boys of St. Vincent,1992,0.86539,7.0,7.0
Boomerang,1992,6.506983,5.4,139.0
Chungking Express,1994,6.778979,7.9,249.0
The Star Maker,1995,1.702639,6.8,29.0
Flirting with Disaster,1996,5.579088,6.3,66.0
The Neverending Story III: Escape from Fantasia,1994,6.252377,4.4,105.0
The Silences of the Palace,1994,0.406754,4.3,3.0
Jupiter's Wife,1995,0.001178,0.0,0.0
Pie in the Sky,1996,0.699066,7.0,2.0
Angela,1995,2.197439,5.6,9.0
Frankie Starlight,1995,0.637554,5.4,4.0
Jade,1995,11.418917,5.1,45.0
Nueba Yol,1995,0.291021,5.5,1.0
Sonic Outlaws,1995,0.001838,0.0,0.0
Down Periscope,1996,5.184977,5.6,110.0
From the Journals of Jean Seberg,1995,0.276401,6.5,2.0
Man of the Year,1995,0.540436,3.8,2.0
The Neon Bible,1995,0.370342,7.2,5.0
Target,1995,0.001205,0.0,0.0
Up Close & Personal,1996,3.402749,5.9,51.0
The Birdcage,1996,6.49968,6.7,303.0
Virgin Mary,1995,0.918504,7.0,2.0
The Brothers McMullen,1995,2.039196,6.3,23.0
Bad Boys,1995,9.262184,6.5,1729.0
The Amazing Panda Adventure,1995,2.375865,5.0,31.0
The Basketball Diaries,1995,7.415144,7.2,472.0
An Awfully Big Adventure,1995,0.922958,6.0,11.0
Amateur,1994,1.759012,6.5,21.0
Apollo 13,1995,18.761467,7.3,1637.0
Rob Roy,1995,10.193549,6.5,151.0
The Addiction,1995,3.137285,6.4,46.0
Batman Forever,1995,13.321354,5.2,1529.0
Belle de Jour,1967,10.142662,7.3,163.0
Beyond Rangoon,1995,2.04189,6.4,21.0
Blue in the Face,1995,11.528147,6.8,28.0
Canadian Bacon,1995,5.391556,5.9,57.0
Casper,1995,12.812539,6.0,1045.0
Clockers,1995,4.558992,6.8,69.0
Congo,1995,7.260574,5.0,214.0
Crimson Tide,1995,8.657365,7.0,508.0
Crumb,1994,3.620388,7.6,71.0
Desperado,1995,6.950458,6.8,898.0
Devil in a Blue Dress,1995,4.646132,6.3,88.0
Die Hard: With a Vengeance,1995,15.138855,6.9,2094.0
The Doom Generation,1995,7.120806,5.6,57.0
Feast of July,1995,0.523575,0.0,0.0
First Knight,1995,15.178338,5.9,319.0
Free Willy 2 - The Adventure Home,1995,7.575098,5.5,130.0
Hackers,1995,14.810519,6.2,406.0
Jeffrey,1995,3.196456,6.5,19.0
Johnny Mnemonic,1995,11.715868,5.5,380.0
Judge Dredd,1995,8.184815,5.4,643.0
Jury Duty,1995,3.676921,4.0,34.0
Kids,1995,4.877872,6.8,280.0
Living in Oblivion,1995,10.058329,7.2,64.0
Lord of Illusions,1995,4.102409,5.9,87.0
Love & Human Remains,1993,0.354014,7.0,7.0
Mad Love,1995,2.624771,5.5,27.0
Mallrats,1995,8.25547,6.8,400.0
Mighty Morphin Power Rangers: The Movie,1995,7.024227,5.2,153.0
Moonlight and Valentino,1995,1.01115,5.6,10.0
Mute Witness,1995,2.466066,6.4,36.0
Nadja,1994,7.720056,5.9,12.0
The Net,1995,13.304342,5.6,359.0
Nine Months,1995,8.482834,5.5,171.0
Party Girl,1995,1.165039,5.8,14.0
The Prophecy,1995,10.187623,6.4,139.0
Reckless,1995,0.119713,10.0,1.0
Safe,1995,8.180047,7.2,62.0
The Scarlet Letter,1995,6.752119,5.5,111.0
The Show,1995,0.159596,5.3,2.0
Showgirls,1995,17.502375,4.9,261.0
Smoke,1995,5.552946,7.2,115.0
Something to Talk About,1995,3.743212,5.7,60.0
Species,1995,13.492845,5.5,457.0
The Stars Fell on Henrietta,1995,0.913522,6.6,6.0
Strange Days,1995,11.223055,6.8,334.0
The Umbrellas of Cherbourg,1964,8.133881,7.6,119.0
The Tie That Binds,1995,1.820419,4.6,9.0
Three Wishes,1995,11.002046,6.1,18.0
